t	i	j	DateTime
1560402880	FANA	EWINE	13/06/2019 07:14
1560402880	ARIELLE	ATMOSPHERE	13/06/2019 07:14
1560402880	EWINE	PETOULETTE	13/06/2019 07:14
1560402900	FANA	EWINE	13/06/2019 07:15
1560402920	KALI	PIPO	13/06/2019 07:15
1560402920	FANA	PETOULETTE	13/06/2019 07:15
1560402920	FANA	EWINE	13/06/2019 07:15
1560402940	FANA	PETOULETTE	13/06/2019 07:15
1560402940	ARIELLE	ATMOSPHERE	13/06/2019 07:15
1560402940	KALI	PIPO	13/06/2019 07:15
1560402960	ARIELLE	ATMOSPHERE	13/06/2019 07:16
1560402960	VIOLETTE	HARLEM	13/06/2019 07:16
1560402960	FELIPE	HARLEM	13/06/2019 07:16
1560402980	ARIELLE	ATMOSPHERE	13/06/2019 07:16
1560402980	VIOLETTE	HARLEM	13/06/2019 07:16
1560403000	KALI	PIPO	13/06/2019 07:16
1560403000	FANA	EWINE	13/06/2019 07:16
1560403000	VIOLETTE	HARLEM	13/06/2019 07:16
1560403020	FANA	EWINE	13/06/2019 07:17
1560403020	KALI	PIPO	13/06/2019 07:17
1560403020	ARIELLE	ATMOSPHERE	13/06/2019 07:17
1560403020	VIOLETTE	HARLEM	13/06/2019 07:17
1560403040	VIOLETTE	HARLEM	13/06/2019 07:17
1560403040	ARIELLE	ATMOSPHERE	13/06/2019 07:17
1560403040	FANA	EWINE	13/06/2019 07:17
1560403040	KALI	PIPO	13/06/2019 07:17
1560403060	FANA	EWINE	13/06/2019 07:17
1560403060	VIOLETTE	PETOULETTE	13/06/2019 07:17
1560403080	FANA	EWINE	13/06/2019 07:18
1560403080	ARIELLE	ATMOSPHERE	13/06/2019 07:18
1560403100	FANA	EWINE	13/06/2019 07:18
1560403100	KALI	PIPO	13/06/2019 07:18
1560403100	ARIELLE	ATMOSPHERE	13/06/2019 07:18
1560403120	KALI	PETOULETTE	13/06/2019 07:18
1560403120	ARIELLE	ATMOSPHERE	13/06/2019 07:18
1560403120	KALI	PIPO	13/06/2019 07:18
1560403120	VIOLETTE	FEYA	13/06/2019 07:18
1560403120	FELIPE	HARLEM	13/06/2019 07:18
1560403120	FELIPE	ANGELE	13/06/2019 07:18
1560403120	FANA	EWINE	13/06/2019 07:18
1560403140	FANA	EWINE	13/06/2019 07:19
1560403140	KALI	PIPO	13/06/2019 07:19
1560403140	ARIELLE	ATMOSPHERE	13/06/2019 07:19
1560403160	FANA	BOBO	13/06/2019 07:19
1560403160	FANA	EWINE	13/06/2019 07:19
1560403160	KALI	PIPO	13/06/2019 07:19
1560403180	KALI	PIPO	13/06/2019 07:19
